cycle,state,candidate_name,poll_pct,result_pct,bias,party,Electors
2020,Oregon,Joseph R. Biden Jr.,58.70422,56.453319,-2.250900999999999,DEM,7
2012,Maine,Barack Obama,52.478731,56.26994587621639,3.7912148762163866,DEM,4
2008,Wisconsin,Barack Obama,52.830288,56.21778651794235,3.3874985179423476,DEM,10
2020,Kansas,Donald Trump,53.86327,56.212513,2.3492430000000013,REP,6
2008,Mississippi,John McCain,52.185829,56.1761889810174,3.9903599810173986,REP,6
2016,Montana,Donald Trump,51.18581,56.16849744642932,4.982687446429324,REP,3
2012,Washington,Barack Obama,53.553606,56.16339829967277,2.609792299672769,DEM,12
2004,New York,John Kerry,54.861737,56.13058126549186,1.2688442654918646,DEM,29
2004,West Virginia,George W. Bush,50.964525,56.06367089260696,5.0991458926069555,REP,5
2004,North Carolina,George W. Bush,51.701374,56.01719733779452,4.315823337794519,REP,15
2004,Maryland,John Kerry,54.146,55.91424565860999,1.7682456586099917,DEM,10
2016,Illinois,Hillary Rodham Clinton,50.83528,55.8253666987933,4.990086698793306,DEM,20
2008,West Virginia,John McCain,53.809804,55.71034310695479,1.9005391069547883,REP,5
2016,New Jersey,Hillary Rodham Clinton,51.92938,55.4530844496942,3.5237044496942005,DEM,14
2008,Texas,John McCain,54.785396,55.45236045232641,0.6669644523264111,REP,38
2020,Colorado,Joseph R. Biden Jr.,53.60451,55.399542,1.795031999999999,DEM,9
2012,Montana,Mitt Romney,52.588288,55.3515353849205,2.763247384920504,REP,3
2008,Nevada,Barack Obama,50.457143,55.1466759243187,4.689532924318698,DEM,6
2020,South Carolina,Donald Trump,51.58993,55.110294,3.5203640000000007,REP,9
2016,South Carolina,Donald Trump,47.47085,54.93933268569543,7.4684826856954345,REP,9
2004,Arizona,George W. Bush,51.744227,54.86943408601376,3.1252070860137593,REP,11
2004,Illinois,John Kerry,52.137212,54.82316020902781,2.6859482090278135,DEM,20
2016,Connecticut,Hillary Rodham Clinton,51.09362,54.56630109670987,3.47268109670987,DEM,7
2012,South Carolina,Mitt Romney,47.840207,54.561131255861405,6.720924255861405,REP,9
2008,Pennsylvania,Barack Obama,51.507156,54.48552801203738,2.978372012037376,DEM,20
2016,Rhode Island,Hillary Rodham Clinton,47.79897,54.41715834795089,6.618188347950891,DEM,4
2004,Connecticut,John Kerry,52.27379,54.3137089719902,2.039918971990204,DEM,7
2004,Arkansas,George W. Bush,49.849195,54.30595907843537,4.45676407843537,REP,6
2004,California,John Kerry,52.412224,54.30337601832641,1.8911520183264088,DEM,55
2020,New Mexico,Joseph R. Biden Jr.,53.85709,54.289286,0.4321959999999976,DEM,5
2012,Oregon,Barack Obama,48.280725,54.239326652769,5.958601652769005,DEM,7
2012,Michigan,Barack Obama,49.719679,54.20820421051875,4.488525210518752,DEM,16
2008,New Hampshire,Barack Obama,52.278613,54.12689705613458,1.848284056134581,DEM,4
2012,Indiana,Mitt Romney,53.129572,54.12553238022445,0.9959603802244459,REP,11
2020,Virginia,Joseph R. Biden Jr.,53.72101,54.109517,0.388506999999997,DEM,13
2008,Minnesota,Barack Obama,52.485662,54.060292698279845,1.5746306982798473,DEM,10
2004,Hawaii,John Kerry,46.175552,54.00955215809311,7.8340001580931045,DEM,4
2008,Iowa,Barack Obama,52.900805,53.92802007386527,1.0272150738652712,DEM,6
2008,South Carolina,John McCain,52.350797,53.873643978637865,1.5228469786378653,REP,9
2012,Missouri,Mitt Romney,54.186415,53.76374113587708,-0.4226738641229133,REP,10
2004,Virginia,George W. Bush,49.819568,53.68236353113949,3.86279553113949,REP,13
2008,Colorado,Barack Obama,51.34055,53.66023684069159,2.3196868406915883,DEM,9
2012,Arizona,Mitt Romney,52.925396,53.65453316597471,0.7291371659747128,REP,11
2008,Arizona,John McCain,49.600574,53.63524782262724,4.034673822627241,REP,11
2004,Maine,John Kerry,50.424383,53.57285569259347,3.1484726925934723,DEM,4
2004,Delaware,John Kerry,49.441044,53.34683760228152,3.90579360228152,DEM,3
2012,Georgia,Mitt Romney,53.609554,53.29900898706427,-0.31054501293573367,REP,16
